Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Souza Neto, P.A., Vargas-Solar, G., Da Costa, U.S., Musicante, M.A.","26665599000;14632835700;55807105000;8586992500;","Designing service-based applications in the presence of non-functional properties: A mapping study",2016,"Information and Software Technology","69",,,"84","105",,3,"10.1016/j.infsof.2015.09.004","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84946600354&doi=10.1016%2fj.infsof.2015.09.004&partnerID=40&md5=3916436932c521d20d6165939c299cca",Article,"Final","",Scopus,2-s2.0-84946600354
"Lethrech, M., Kenzi, A., Elmagrouni, I., Nassar, M., Kriouile, A.","56039742600;24529048300;56038835700;36829597800;6506862803;","CADSSO: A development approach for contextaware service oriented systems",2015,"Journal of Theoretical and Applied Information Technology","78","2",,"236","252",,1,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84939474505&partnerID=40&md5=2681fd4bda999019fd2fd938db150448",Article,"Final","",Scopus,2-s2.0-84939474505
"Contreras, A.R., Mahbub, K.","36466122600;8509834000;","MORPED: Monitor rules for proactive error detection based on run-time and historical data",2014,"5th International Conference on the Applications of Digital Information and Web Technologies, ICADIWT 2014",,,"6814690","28","35",,4,"10.1109/ICADIWT.2014.6814690","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84901313086&doi=10.1109%2fICADIWT.2014.6814690&partnerID=40&md5=0a08985fbeae442317cc17c0c4d65dd0",Conference Paper,"Final","",Scopus,2-s2.0-84901313086
"Thirumaran, M., Dhavachelvan., P., Aishwarya., D.","34880981200;6506713915;55513868500;","Business workflow growth rate analysis using cellular automata",2012,"ACM International Conference Proceeding Series",,,,"315","321",,1,"10.1145/2393216.2393270","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84870658537&doi=10.1145%2f2393216.2393270&partnerID=40&md5=c3c5d6123ca91dc8b09175dd0226e564",Conference Paper,"Final","",Scopus,2-s2.0-84870658537
"Thirumaran, M., Dhavachelvan, P., Naga Venkata Kiran, G.","34880981200;6506713915;55437700900;","A collaborative framework for evaluation of run-time changes in enterprise web services",2012,"ACM International Conference Proceeding Series",,,,"413","418",,,"10.1145/2381716.2381793","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84869066527&doi=10.1145%2f2381716.2381793&partnerID=40&md5=4e2bb60931fe91d1176f1bfbe329165a",Conference Paper,"Final","",Scopus,2-s2.0-84869066527
"Thirumaran, M., Ponnurangam, D., Kiran, G.N.V., Divya, A.","34880981200;6506713915;55355666800;57112403000;","A novel framework for enterprise web services change management",2012,"ACM International Conference Proceeding Series",,,,"21","27",,,"10.1145/2345396.2345401","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84866096769&doi=10.1145%2f2345396.2345401&partnerID=40&md5=6bb88a74f9cc804e61500c5d1f70df98",Conference Paper,"Final","",Scopus,2-s2.0-84866096769
"Contreras, R., Zisman, A., Marconi, A., Pistore, M.","36466122600;7006542987;14632396800;6701408422;","PRadapt: A framework for dynamic monitoring of adaptable service-based systems",2012,"ICSE Workshop on Principles of Engineering Service Oriented Systems",,,"6225939","50","56",,5,"10.1109/PESOS.2012.6225939","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84865148678&doi=10.1109%2fPESOS.2012.6225939&partnerID=40&md5=b473ca56683a3c6adaf1948cceadc2f9",Conference Paper,"Final","",Scopus,2-s2.0-84865148678
