Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Deng, F., Chen, P., Zhang, L., Li, S.","43160986600;57196048121;55568486400;55978362000;","Study on distributed policy evaluation engine in SOA environment",2014,"Huazhong Keji Daxue Xuebao (Ziran Kexue Ban)/Journal of Huazhong University of Science and Technology (Natural Science Edition)","42","12",,"106","110 and 132",,3,"10.13245/j.hust.141221","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84920513510&doi=10.13245%2fj.hust.141221&partnerID=40&md5=bb17e317150f7722ce837a3c63ef362f",Article,"Final","",Scopus,2-s2.0-84920513510
"Deng, F., Chen, P., Zhang, L.-Y., Wang, X.-Q., Li, S.-D., Xu, H.","43160986600;57196048121;55568486400;43161483000;55978362000;56192943400;","Policy decomposition for evaluation performance improvement of PDP",2014,"Mathematical Problems in Engineering","2014",,"610278","","",,3,"10.1155/2014/610278","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84901802354&doi=10.1155%2f2014%2f610278&partnerID=40&md5=91c869684ab79f4a89b29f31eeb6d06a",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-84901802354
"Abd El-Aziz, T., Kannan, A.","56372955600;8273684400;","A comprehensive presentation to XACML",2013,"IET Conference Publications","2013","CP646",,"155","161",,5,"10.1049/cp.2013.2585","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84907523129&doi=10.1049%2fcp.2013.2585&partnerID=40&md5=6b82c81982e1361d74f1b4bab9bd3b6f",Conference Paper,"Final","",Scopus,2-s2.0-84907523129
