Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Higuera-Toledano, M.T., Wellings, A.J.","6508375040;7004269213;","Distributed, embedded and real-time java systems",2013,"Distributed, Embedded and Real-time Java Systems","9781441981585",,,"1","378",,6,"10.1007/978-1-4419-8158-5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84945651423&doi=10.1007%2f978-1-4419-8158-5&partnerID=40&md5=170ddefe0bbf896a31406ea2a0f6bb2c",Book,"Final","",Scopus,2-s2.0-84945651423
"Masson, D., Midonnet, S.","15923051000;6506442647;","Handling non-periodic events in real-time java systems",2012,"Distributed, Embedded and Real-time Java Systems","9781441981585",,,"45","77",,,"10.1007/978-1-4419-8158-5_3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84949178799&doi=10.1007%2f978-1-4419-8158-5_3&partnerID=40&md5=d0d05b0b1ff2e4f068de34dc0eec1e02",Book Chapter,"Final","",Scopus,2-s2.0-84949178799
"Holgado-Terriza, J.A., Viúdez-Aivar, J.","6506726693;35114193700;","JavaES, a flexible java framework for embedded systems",2012,"Distributed, Embedded and Real-time Java Systems","9781441981585",,,"323","355",,2,"10.1007/978-1-4419-8158-5_13","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84945380364&doi=10.1007%2f978-1-4419-8158-5_13&partnerID=40&md5=3895cc65c921b2987089928f9a8093e0",Book Chapter,"Final","",Scopus,2-s2.0-84945380364
"Zhou, S., Tang, B., Liang, D.","23391518300;57189366825;35773506100;","The design and development of RDGSM isotope database based on J2ME/J2EE",2009,"2009 International Conference on Energy and Environment Technology, ICEET 2009","3",,"5364164","623","625",,,"10.1109/ICEET.2009.618","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77949524873&doi=10.1109%2fICEET.2009.618&partnerID=40&md5=78cc8d1da3aa9c9fca3d94fcffbf0927",Conference Paper,"Final","",Scopus,2-s2.0-77949524873
"Loinig, J., Steger, C., Weiss, R., Haselsteiner, E.","35243026100;35582717900;7404027434;6505892700;","Java Card performance optimization of secure transaction atomicity based on increasing the class field locality",2009,"SSIRI 2009 - 3rd IEEE International Conference on Secure Software Integration Reliability Improvement",,,"5325352","342","347",,4,"10.1109/SSIRI.2009.39","https://www.scopus.com/inward/record.uri?eid=2-s2.0-72849140193&doi=10.1109%2fSSIRI.2009.39&partnerID=40&md5=5899e0141e1332ae08fb5caf5763ca4a",Conference Paper,"Final","",Scopus,2-s2.0-72849140193
"Holgado-Terriza, J.A., Viúdez-Aivar, J.","6506726693;35114193700;","A flexible java framework for embedded systems",2009,"ACM International Conference Proceeding Series",,,"1620409","21","30",,3,"10.1145/1620405.1620409","https://www.scopus.com/inward/record.uri?eid=2-s2.0-70350650580&doi=10.1145%2f1620405.1620409&partnerID=40&md5=6e70e454a73c1a0f5d6d427dda44da18",Conference Paper,"Final","",Scopus,2-s2.0-70350650580
"Yan, L., Liang, Z.","8403504100;55684826300;","An accelerator design for speedup of Java execution in consumer mobile devices",2009,"Computers and Electrical Engineering","35","6",,"904","919",,5,"10.1016/j.compeleceng.2008.11.021","https://www.scopus.com/inward/record.uri?eid=2-s2.0-70350568751&doi=10.1016%2fj.compeleceng.2008.11.021&partnerID=40&md5=052223dbe6f8961a6809d1362d0f5a09",Article,"Final","",Scopus,2-s2.0-70350568751
"Saabas, A., Uustalu, T.","9733304400;6602585906;","Type Systems for Optimizing Stack-based Code",2007,"Electronic Notes in Theoretical Computer Science","190","1 SPEC. ISS.",,"103","119",,11,"10.1016/j.entcs.2007.02.063","https://www.scopus.com/inward/record.uri?eid=2-s2.0-34547193722&doi=10.1016%2fj.entcs.2007.02.063&partnerID=40&md5=882a2468646c2714143aeefa5f527116",Article,"Final","All Open Access, Bronze",Scopus,2-s2.0-34547193722
"Valdin, I.","17436019700;","Graphics optimization for J2ME compatible mobile phones",2006,"Proceedings of the International Symposium on Consumer Electronics, ISCE",,,"1689462","163","166",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-34547375931&partnerID=40&md5=5f44a971469342f2db0d46d82d77eb77",Conference Paper,"Final","",Scopus,2-s2.0-34547375931
