Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Fadhel, A.B., Bianculli, D., Briand, L.C.","55576248900;21741917400;7006613079;","Model-driven run-time enforcement of complex role-based access control policies",2018,"ASE 2018 - Proceedings of the 33rd ACM/IEEE International Conference on Automated Software Engineering",,,,"248","258",,3,"10.1145/3238147.3238167","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85056558138&doi=10.1145%2f3238147.3238167&partnerID=40&md5=d8554e54098abf4ba5786e102497dc4c",Conference Paper,"Final","All Open Access, Green",Scopus,2-s2.0-85056558138
"Thulnoon, A.A., Lempereur, B., Shi, Q., Al-Jumeily, D.","57201405063;55078379100;35754037900;23090210900;","Using aspect oriented programming to enforce privacy preserving communication in distributed systems",2017,"ACM International Conference Proceeding Series",,,"a192","","",,1,"10.1145/3018896.3065828","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044672483&doi=10.1145%2f3018896.3065828&partnerID=40&md5=62dba649f861c0c03dc3166f5ed1e574",Conference Paper,"Final","",Scopus,2-s2.0-85044672483
"Jebbaoui, H., Mourad, A., Otrok, H., Haraty, R.","56338299100;9275987400;20436645500;6602296150;","Semantics-based approach for detecting flaws, conflicts and redundancies in XACML policies",2015,"Computers and Electrical Engineering","44",,,"91","103",,20,"10.1016/j.compeleceng.2014.12.012","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84931004445&doi=10.1016%2fj.compeleceng.2014.12.012&partnerID=40&md5=94746a0b7f73774e0a094fac546eb0ca",Article,"Final","",Scopus,2-s2.0-84931004445
"Hummer, W., Gaubatz, P., Strembeck, M., Zdun, U., Dustdar, S.","36716249700;42761302000;6506206486;55908948800;6701473617;","Enforcement of entailment constraints in distributed service-based business processes",2013,"Information and Software Technology","55","11",,"1884","1903",,15,"10.1016/j.infsof.2013.05.001","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84884150946&doi=10.1016%2fj.infsof.2013.05.001&partnerID=40&md5=9bb7ea6ae26371da1d6d9b5f2341ec5a",Article,"Final","All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-84884150946
"Khan, A.A., Mouftah, H.T.","24724447400;7102957682;","Secured web services for home automation in smart grid environment",2012,"2012 25th IEEE Canadian Conference on Electrical and Computer Engineering: Vision for a Greener Future, CCECE 2012",,,"6335018","","",,5,"10.1109/CCECE.2012.6335018","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84870435231&doi=10.1109%2fCCECE.2012.6335018&partnerID=40&md5=6623f314269de25bda738b6d9b88918c",Conference Paper,"Final","",Scopus,2-s2.0-84870435231
"Tout, H., Mourad, A., Yahyaoui, H., Talhi, C., Otrok, H.","55442989700;9275987400;6602992340;9275987500;20436645500;","Towards a BPEL model-driven approach for web services security",2012,"2012 10th Annual International Conference on Privacy, Security and Trust, PST 2012",,,"6297928","120","127",,7,"10.1109/PST.2012.6297928","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84868223017&doi=10.1109%2fPST.2012.6297928&partnerID=40&md5=116d5a42e4668e409dd6aa4ff5352ae2",Conference Paper,"Final","",Scopus,2-s2.0-84868223017
"Mourad, A., Otrok, H., Ayoubi, S.","9275987400;20436645500;57217415539;","Toward systematic integration of security policies into web services",2011,"Proceedings - 2011 European Intelligence and Security Informatics Conference, EISIC 2011",,,"6061238","220","223",,,"10.1109/EISIC.2011.48","https://www.scopus.com/inward/record.uri?eid=2-s2.0-81255172334&doi=10.1109%2fEISIC.2011.48&partnerID=40&md5=b65e96614cf8152eaa0cb1bcdc0bcd20",Conference Paper,"Final","",Scopus,2-s2.0-81255172334
"Hummer, W., Gaubatz, P., Strembeck, M., Zdun, U., Dustdar, S.","36716249700;42761302000;6506206486;55908948800;6701473617;","An integrated approach for identity and access management in a SOA context",2011,"Proceedings of ACM Symposium on Access Control Models and Technologies, SACMAT",,,,"21","30",,21,"10.1145/1998441.1998446","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79960160217&doi=10.1145%2f1998441.1998446&partnerID=40&md5=a946b9f5613b9be0f82fdd0aa8faaf53",Conference Paper,"Final","",Scopus,2-s2.0-79960160217
