Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
11,"MT Zulfikar","Detection traffic congestion based on Twitter data using machine learning",2019,"Procedia Computer Science","Elsevier","https://www.sciencedirect.com/science/article/pii/S187705091931066X","https://scholar.google.com/scholar?cites=14883416483886160657&as_sdt=2005&sciodt=0,5&hl=en",1,"2021-12-19 16:35:45","","","","",,,,,11,5.50,11,1,2,"Twitter is one of the social media with text and image information that can be used as a source of information to detect traffic congestion in real-time. This study developed a system to detect traffic congestion in Indonesia, especially DKI Jakarta. The system displays the …","https://www.sciencedirect.com/science/article/pii/S187705091931066X/pdf?md5=a95aa51ea06210cf1c6bdb694c748fea&pid=1-s2.0-S187705091931066X-main.pdf","https://scholar.google.com/scholar?q=related:EVs6tm-EjM4J:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
8,"M Arafeh, P Ceravolo, A Mourad, E Damiani, ...","Ontology based recommender system using social network data",2021,"Future Generation …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0167739X20305963","https://scholar.google.com/scholar?cites=3969228426496561356&as_sdt=2005&sciodt=0,5&hl=en",3,"2021-12-19 16:35:45","","","","",,,,,8,8.00,2,5,1,"Abstract Online Social Network (OSN) is considered a key source of information for real-time decision making. However, several constraints lead to decreasing the amount of information that a researcher can have while increasing the time of social network mining procedures. In …","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7546693/","https://scholar.google.com/scholar?q=related:zNC1WTmIFTcJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
5,"SA Rahman, A Mourad, M El Barachi","An infrastructure-assisted crowdsensing approach for on-demand traffic condition estimation",2019,"IEEE Access","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/8895966/","https://scholar.google.com/scholar?cites=12109604778604014966&as_sdt=2005&sciodt=0,5&hl=en",2,"2021-12-19 16:35:45","","","","",,,,,5,2.50,2,3,2,"With the widespread use of smartphones and the continuous increase of their capabilities, a new sensing paradigm has emerged: mobile crowdsensing. The concept of crowdsensing implies the reliance on the crowd to perform sensing tasks and collect data about a …","https://ieeexplore.ieee.org/iel7/6287639/8600701/08895966.pdf","https://scholar.google.com/scholar?q=related:dq0Q_2L1DagJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
2,"M Arafeh, P Ceravolo, A Mourad, ...","Sampling online social networks with tailored mining strategies",2019,"2019 Sixth International …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/8931829/","https://scholar.google.com/scholar?cites=7198375190579019845&as_sdt=2005&sciodt=0,5&hl=en",4,"2021-12-19 16:35:45","","","","",,,,,2,1.00,1,4,2,"With the vast amount of daily generated data that expands every day, Online Social Network (OSN) is considered a key source of information for many Big Data applications. Despite that, companies behind OSNs resort to putting more constraints on their APIs gateways …","https://www.researchgate.net/profile/Azzam-Mourad/publication/337985736_Sampling_Online_Social_Networks_with_Tailored_Mining_Strategies/links/5f95b7cb299bf1b53e45cecc/Sampling-Online-Social-Networks-with-Tailored-Mining-Strategies.pdf","https://scholar.google.com/scholar?q=related:RYBy4hjE5WMJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
1,"MAR Noori, R Mehra","Fire Emergency Detection from Twitter Using Supervised Principal",2020,"2020 IEEE 15th International …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9342671/","https://scholar.google.com/scholar?cites=7961304913949516289&as_sdt=2005&sciodt=0,5&hl=en",6,"2021-12-19 16:35:45","","","","",,,,,1,1.00,1,2,1,"Principal Component Analysis (PCA) is primarily a dimensionality reduction technique used in the area of unsupervised machine learning, while the use of PCA in the area of supervised machine learning is still in progress. In the field of supervised event detection …","","https://scholar.google.com/scholar?q=related:AWKIcKM8fG4J:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
0,"S Abdul Rahman, A Mourad, M El Barachi","An Infrastructure-Assisted Crowdsensing Approach for On-Demand Traffic Condition Estimation",2019,"","laur.lau.edu.lb","https://laur.lau.edu.lb:8443/xmlui/handle/10725/12698","",5,"2021-12-19 16:35:45","","","","",,,,,0,0.00,0,3,2,"With the widespread use of smartphones and the continuous increase of their capabilities, a new sensing paradigm has emerged: mobile crowdsensing. The concept of crowdsensing implies the reliance on the crowd to perform sensing tasks and collect data about a …","https://laur.lau.edu.lb:8443/xmlui/bitstream/handle/10725/12698/An%20infrastructure.pdf?sequence=2","https://scholar.google.com/scholar?q=related:YwV3VxRNL34J:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
0,"GA Neruda, E Winarko","Traffic Event Detection from Twitter Using a Combination of CNN and BERT",2021,"2021 International Conference on …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9631334/","",7,"2021-12-19 16:35:45","","","","",,,,,0,0.00,0,2,1,"Knowing traffic situations in a real-time manner is essential in modern society. There are several challenges to using conventional physical sensors. The rise of social media can be an alternative solution to this problem, as it can be a low-cost but still reliable source of …","",""
